id;datetime;rounds;procedure_time;high_card;one_pair;two_pair;three_of_a_kind;straight;flush;full_house;four_of_a_kind;straight_flush;royal_flush
0;2022-10-22 21:09:27.274925;10000000;198.45321345329285;5011842;4226276;475149;210543;39324;19958;14321;2413;156;18
1;2022-10-22 21:44:32.627867;10000000;198.30123615264893;5008889;4228962;475058;211436;39258;19409;14414;2421;131;22
2;2022-10-22 21:48:25.037987;10000000;198.88087344169617;5013053;4224677;474642;211397;39468;19772;14537;2307;127;20
3;2022-10-22 21:53:32.993825;9999999;206.12472200393677;5015679;4222986;474696;211229;39116;19500;14325;2318;134;16
4;2022-10-23 14:47:58.684987;1000;0.02797985076904297;488;424;54;26;3;3;2;0;0;0
5;2022-10-23 15:56:39.975955;10000000;201.3673598766327;5017168;4224147;475573;211172;35203;19630;14583;2375;126;23
6;2022-10-23 16:02:28.753024;10000000;198.79757452011108;5015200;4227480;474855;210526;35399;19870;14163;2388;108;11
7;2022-10-23 16:09:19.216816;10000000;198.77860522270203;5015361;4226296;476275;210490;35079;19589;14400;2378;114;18
8;2022-10-23 16:12:52.697519;10000000;206.02507638931274;5015535;4225239;475535;212013;34981;19584;14636;2334;126;17
9;2022-10-23 16:23:06.143222;10;0.0;5;3;1;0;1;0;0;0;0;0
10;2022-10-23 16:27:06.314294;10;0.0;5;4;1;0;0;0;0;0;0;0
11;2022-10-23 16:28:11.357680;10000000;152.74889278411865;5017619;4223577;475845;210754;35478;19823;14340;2446;102;16
12;2022-10-23 16:34:51.578775;10000000;151.72709274291992;5015874;4225458;475389;211274;35250;19914;14299;2415;114;13
13;2022-11-07 21:53:28.795663;10000000;157.4283754825592;5017002;4225354;474595;211358;35382;19376;14427;2392;102;12
14;2022-11-09 11:48:01.864946;10000000;153.58375120162964;5015912;4225663;475541;211108;35502;19483;14316;2332;133;10
15;2022-11-09 12:07:45.353572;1;0.0;0;1;0;0;0;0;0;0;0;0
16;2022-11-09 12:09:06.453774;10000000;154.42420363426208;5014134;4225557;476268;212344;35210;19518;14444;2372;139;14
17;2022-11-09 12:20:59.710803;10000000;150.6523938179016;5013437;4228241;475755;210909;35192;19531;14410;2365;136;24
18;2022-11-16 11:47:51.826076;10000000;149.17253971099854;5015712;4225406;475420;211439;35409;19584;14449;2442;123;16
19;2022-11-16 12:11:41.900342;10000000;152.81436252593994;5017878;4224811;474642;210678;35565;19529;14395;2365;121;16
20;2022-11-16 12:18:02.890641;10000000;154.14665293693542;5011245;4226491;474531;211615;39667;19568;14312;2406;142;23
